question,level
A cylindrical compressed air drum is 2 m in diameter with plates 12.,Application
Explain in detail file systems and its implementation.,Knowledge
Explain the following for hydraulic turbine.,Knowledge
Explain the Concept of Acceleration Image Principal.,Knowledge
Compare SMTP and HTTP.,Analysis
Write  a short note on.,Comprehension
Explain the application of OPAMP as square wave generator.,Comprehension
Why starter is required in a DC motor?,Comprehension
Two straight road intersects at a chainage of 2550.,Application
State types of thermosetting resins.,Knowledge
Explain with diagram the working of D type Flip-flop. Give its truth table.,Knowledge
The expected number of matches those will be won by India in a series of five one day matches between India and England is three.,Knowledge
Explain construction and working of Francis Turbine with application.,Knowledge
Explain Euler’s method for the solution of ordinary differential equation.,Knowledge
List the steps involved in programming PIC microcontroller in capture mode.,Knowledge
What is meant by controlled access?,Knowledge
Explain in brief what is folding.,Knowledge
What is ARTESIAN condition?,Knowledge
Explain any 3 addressing modes with example.,Knowledge
Why surge tanks are used in hydro power plant?,Knowledge
Solve any two of the following.,Application
Derive the relation for the power in wind and describe the Environmental Impacts of Wind Turbines.,Analysis
What is fouling?,Knowledge
Explain Splay tree with an example.,Knowledge
Write a short note on bearing materials.,Knowledge
Draw and explain working of TRIAC.,Knowledge
Express hybrid parameters in terms of transmission line parameters.,Analysis
What are the parameters considered for writing a good defect report?,Knowledge
Discuss the various scenarios of deleting a node from binary search tree.,Knowledge
.,Knowledge
Design a practical Integrator with input Signal of 1.,Application
When do deadlock happens?,Knowledge
Find Y parameters or the Network Shown.,Application
Write a short note on Ferranti effect.,Comprehension
What is meant by power screw?,Knowledge
Derive torque equation of DC motor?,Analysis
What are the types of projection and write in brief about each type of projections.,Knowledge
Discuss effect of alloying elements on steel?,Knowledge
Show that for a steady laminar flow through a circular pipe mean velocity of flow occurs at radial distance of 0.,Analysis
Explain the function of LM 317 as adjustable voltage regulator.,Knowledge
What is reverberation time and how is it calculated?,Comprehension
Explain compression moulding process of composite manufacturing.,Knowledge
Derive an expression for inductance of three phase transmission line with symmetrical spacing.,Application
Write a short note on - C60.,Knowledge
State the rules followed while applying block diagram reduction technique.,Knowledge
The principal tensile stresses at a point on two perpendicular planes are 120 MPa and 50 MPa.,Application
Draw and explain low dropout regulator?,Analysis
Find the condition for symmetry and reciprocity of Z parameter.,Analysis
Derive the expression Maximum Efficiency of a Square Threaded Screw.,Analysis
Derive an expression for continuity equation in 3 dimensions.,Analysis
In a wide rectangular channel of 100 m wide and 3 m deep has an average bed slope of 0.,Application
Define the characteristics of op-amp,Knowledge
Define  the following terms.,Comprehension
Explain RS232 standard with suitable diagram.,Knowledge
Write following C functions in SLL:,Application
Draw and explain the working of a digital multimeter.,Analysis
"Among 64 off springs of a certain cross between European horses 34 were red, 10 were black and 20 were white. According to a genetic model these numbers should be in the ratio 9:3:4. Is the data consistentwith the model at 5% level of significance? Take  2 2;0.05 5.991",Application
A certain random variable has the CDF given by.,Application
What is instruction-level parallelism? What is the difference between superscalar and pipelined?,Knowledge
What do you understand by substructure.,Knowledge
Write short note on carburizing and list its applications?,Knowledge
Explain building meterial used for green building.,Knowledge
Describe the operation of voltage controlled oscillator with neat block diagram.,Analysis
Describe the construction of foil type strain gauges and explain their advantages over wire wound strain gauge.,Analysis
Explain the various modes of heat transfer with suitable real life examples.,Knowledge
Determine whether the graphas G and H displayed in Figure are isomorphic or not?,Analysis
Draw SFD and BMD for the beam loaded and supported as shown in Fig.,Application
Aluminum is a preferred plate making material.,Knowledge
Differentiate between ROM and RAM?,Knowledge
What are the causes of an earthquakes.,Knowledge
Discuss the steps in executing interrupts in PIC18 microcontroller.,Analysis
A body of weight 9.,Application
What is the effects of faulting and their significance in civil engineering.,Knowledge
Describe in brief the various preventive measures against landslides.,Knowledge
Draw neat diagram of I -V converter and derive the equation for output voltage.,Knowledge
Obtain f(t) for the signal shown in Fig. 5. Also determine Laplace transform of f(t).,Application
Index 69 division by compound indexing method.,Application
Write short note on Autofrettage of Monoblock Pressure vessels.,Knowledge
Demonstrate the principle of Spot Welding process in brief.,Knowledge
Derive the continuity equation with usual notations for three dimensional flow.,Analysis
Write a Python program to append a new item to the end of the array.,Application
Which are the different instruction cycle states of a processor?,Knowledge
List out the properties of continuous time Fourier Series.,Comprehension
Enlist continuous control modes used in process control system and explain PI and PD control modes with suitable example.,Comprehension
"In a pack of cards, 2cards are drawn simultaneously. What is the probability of getting a Queen and Jack combination.",Application
Find inverse of matrix using Gauss Jordan method.,Application
Explain the term dimensional homogeneous equation?,Knowledge
Explain the meaning of static and dynamic memories. State their applications.,Knowledge
Explain RTC DS1306 interfacing with PIC18FXX microcontroller.,Analysis
A steel rod 5m long and 40mm diameter is used as a column.,Application
Discuss in detail fragmentation in terms of IPv4.,Analysis
Write an explanatory note on Bucket Elevators.,Analysis
Explain the working of full wave precision rectifier with neat diagrams.,Comprehension
State  the working principle and applications of total station?,Knowledge
Explain chain drive with its different types.,Knowledge
Explain composite masonry.,Comprehension
With suitable diagram explain hydraulic method of level measurement.,Comprehension
Describe PMTS with suitable illustration.,Knowledge
Elaborate the impact of usage of EV on power grid.,Knowledge
Explain class template using multiple parameters.,Analysis
Explain in brief poly urethanes.,Analysis
"Determine using modified Euler's method the value of y at x = 0.1, given",Application
Describe the operation of timer 555 with suitable block diagram.,Knowledge
Explain operation of capture mode of PIC18FXX microcontroller along with diagram.,Analysis
How to perform Analysis of Financial performances.,Analysis
Analyze the beam ABC shown in figure 6 by stiffness method and draw BMD.,Application
What is difference between starvation and deadlock?,Analysis
What is mountain building process?,Knowledge
Explain the relationship between compressive strength and tensile strength of concrete.,Knowledge
A single acting reciprocating air compressor has cylinder diameter and stroke of 200 mm and 300 mm respectively.,Application
Describe in brief elastomer polymerization.,Analysis
Write the steps involved in programming compare mode of CCP1 module in PIC18F458.,Knowledge
Determine the transition matrix of state equation 03X( )14xt.,Application
"With the neat diagram, explain principle of working of thermocouple. Give its examples along with the temperature ranges.",Knowledge
Explain the operation of a three phase induction motor drive for an EV with the help of a block diagram.,Knowledge
Illustrate use of methods in PrintStream Class to implement Student Information system.,Application
What are the Switching regulator topologies?,Knowledge
Describe the constructional details and operation of the capacitor start capacitor run induction motor with the help of diagrams.,Knowledge
A steel bar 3.,Application
What is the need of IPv6?,Knowledge
Draw an interfacing diagram and write program for speed control of a stepper motor using 8051.,Application
Compare paramagnetic and ferromagnetic material.,Analysis
Implement 3 bit binary to gray code converter using PLA.,Application
Define brake and gives general requirements of good braking system.,Knowledge
What is PLD?,Knowledge
State the necessityof reducing cutting forces in sheet metal works.,Knowledge
What are the current trends in computer hardware platforms?,Knowledge
What is MOD counter ?,Knowledge
Calculate the thickness of flanged torispherical head for a vessel having internal diameter 6000mm.,Knowledge
Define welding.,Knowledge
Explain the working principle of practical differentiator circuit with neat circuit diagram and derivation of output equation.,Comprehension
Write a note on applications of remote sensing.,Knowledge
A lubricating oil of viscosity of 10 poise and specific gravity 0.,Application
A trapezoidal channel has side slopes 1 to 1.,Application
Construct the backward difference table for the following data.,Application
Explain process of perlite formation from austenite?,Knowledge
Write the requirements of root.,Knowledge
What is meant by reactance voltage in ease of commutation in DC machine?,Knowledge
What is fractal?,Knowledge
What are the different algorithms and techniques used in managing cache memory.,Knowledge
17.,Application
Define Pressure vessel and give some industrial examples where these are used commonly.,Knowledge
What are the properties of a typical cancer cell?,Knowledge
What is the concept of function pointers?,Knowledge
Explain any two types of Starters used for 3 phase Induction Motor.,Knowledge
Define fault and explain the significance of fault in Civil Engineering.,Comprehension
What are the various types of manometers?,Knowledge
What is a peptide bond?,Knowledge
What is mean by programming in the large?,Knowledge
Derive the condition for maximum starting torque for three phase induction motor.,Analysis
Enlist the safety precautions you will take on construction site.,Knowledge
What is spur gear?,Knowledge
What is a register in CPU?,Knowledge
Explain Boundary fill algorithm for polygon.,Comprehension
Write short notes on Johnson counter.,Knowledge
What is segment?,Knowledge
Draw & explain TCON register.,Knowledge
Two straights PI and QI meet at chainage of 3450 m.,Application
Explain the feedback compensator with example.,Knowledge
E.,Knowledge
Explain Frame Representation with its merits and demerits.,Knowledge
Explain with neat sketch pressure thermoforming.,Knowledge
What are different methods of speed control for three phase induction motor.,Comprehension
What is time constant? State time constant in case of Series R-L circuit and series R-C circuit.,Knowledge
With the help of a block diagram explain the concept of SMPS.,Knowledge
Discuss the Causes of Gear Tooth Failure.,Knowledge
Draw neat diagram of three input averaging amplifier and derive the equation for output voltage.,Application
What is meant by transposition of conductors in an overhead line?,Knowledge
What are the various types of mixers used for paste and plastic materials?,Knowledge
What are the applications of Stack.,Comprehension
Write a short note on motion specification method based on.,Knowledge
"Explain Proportional mode, Integral Mode and Derivative Mode.",Knowledge
Explain and compare point source and diffuse illumination.,Analysis
Derive the expression for setting out of curve by offset from long chord method.,Analysis
State and explain the properties of CDF.,Application
Explain adjustable voltage regulator using LM317.,Knowledge
Which are various functional units of microprocessors?,Knowledge
Determine the optimum proportions of a cylindrical vessel with flat top and 60º conical bottoms.,Analysis
Explain different types of hazards that occur in a pipeline.,Knowledge
Explain the factors affecting rate of E1 and E2 reactions.,Analysis
All external walls are of 230 mm thick.,Application
A T section with 200 mm X 50 mm and web 200 mm X 50 mm as shown in figure 1 is subjected to vertical shear force of 200 KN.,Application
Distinguish between hot and cold foil stamping.,Analysis
"Explain with sketches, wind and stack effect.",Analysis
Draw and explain circuit of an IGBT.,Analysis
Explain STEP with scope and Architecture.,Knowledge
Write a note on the dam located on folded geological structure.,Knowledge
Differentiate between open mould and closed mould process.,Analysis
Write an algorithm to convert infix expression to postfix expression and convert following infix expression to postfix expression.,Knowledge
What is register renaming?,Knowledge
Show that the analytic function f (z) with constant modulus is constant.,Analysis
Elaborate Compaction factor test.,Comprehension
Differentiate between hard and soft magnetic material.,Analysis
Draw the block diagram of IC PCL 565 and explain in detail.,Knowledge
Discuss briefly different methods of speed control of three phase induction motors with neat diagrams.,Knowledge
Define deadlock. Explain the methods for deadlock prevention.,Knowledge
The standard deviation and arithmetic mean of the distribution are 4.,Application
Explain a ‘C’ function to Insert a number in doubly linked list.,Application
Explain the factor of safety with respect to shear strength.,Comprehension
Explain with example trie tree.,Knowledge
Calculate the first four central moments for the following frequencies.,Application
Define the following terms.,Knowledge
Explain need of digital communication.,Knowledge
What is cushioning of air cylinder.,Comprehension
Explain different levels of protection?,Analysis
What is a stepper motors?,Knowledge
Explain any four design concepts with appropriate example.,Knowledge
What is parametric modeling?,Knowledge
How the Queue ADT is implemented using a Python list.,Knowledge
What are the rules for overloading operators?,Knowledge
Write a short note on checking verticality of tall building.,Comprehension
Write an algorithm to evaluate postfix expression.,Knowledge
Give composition and properties of any three bearing materials.,Knowledge
Explain phases in Verification and Validation model with suitable diagram.,Knowledge
What do you mean by concrete mix design?,Knowledge
Explain FPGA architecture.,Comprehension
A HPF section is constructed from two capacitors 1 microfarad each and 15 milli henery find cutoff frequency and design Resistance.,Analysis
Explain COCOMO Model for project estimation with suitable example.,Analysis
Explain AM and FM Screening with diagrams.,Knowledge
What is the cost of the MST?,Knowledge
Define Time Study and explain different steps of Time study.,Analysis
Explain three way handshake algorithm for TCP connection establishment.,Knowledge
Explain with suitable example Update Anomalies.,Knowledge
Carry out ABC analysis for the following items and plot ABC curve.,Analysis
Find the Laplace transform of given network given f (t).,Application
What is destructor?,Knowledge
How many automobile license plates can be made if each plate contains two different letters followed by three different digits.,Application
A steel column of 4m long and of 100mm diameter is fixed at one end and free at other end.,Evaluation
Explain with a neat sketch screw conveyor.,Analysis
The following results refer to a test on a petrol engine.,Application
What are the basic performance issues in pipelining.,Knowledge
Explain with the help of neat sketch,Application
"A symmetric I section of flanges 120 mm × 20 mm and web of thickness 20 mm and 100 mm depth, carrying uniformly distributed load ofmagnitude 80 kN/m over 4 m span. Calculate the maximum bendingcompressive stress.",Application
What is a design pattern?,Knowledge
Define dryness fraction.,Knowledge
Explain the function of the following component in HPP :,Knowledge
Explain sensitization of stainless steel?,Knowledge
Define term base load and peak load plants .,Knowledge
Write a short note on Velocity Profile optimization in DC Motor?,Knowledge
Is Etching is essential every time ?,Analysis
Explain the process Biomass energy conversion.,Knowledge
What is Fourier series. Write formula for exponential and Trignometric Fourier series.,Knowledge
Define and explain the following op-Amppovameter,Knowledge
Define package and interfaces in Java?,Knowledge
What is fluidization and minimum fluidization velocity?,Knowledge
Classify insulating materials and hence write properties and applications of any two materials from Class C type.,Comprehension
Write a note on Lapping process.,Knowledge
State and explain the five more important goals of a project.,Knowledge
A fluid of viscosity 0.,Knowledge
What is Turbidometry in microbiology?,Knowledge
Explain in brief Autoclave variables as one of major engineering problems of urea production process.,Analysis
What is plate tectonics?,Knowledge
Explain the cold and hot weather concreting.,Application
Explain in brief folding to paper style.,Knowledge
Explain with example the significance of priority queue over simple queue.,Analysis
Describe the working principle of capacitive humidity sensors with diagram.,Comprehension
What is cohesion and coupling?,Knowledge
With the help of torque speed characteristics explain effect of addition of external resistance in rotor circuit of 3 phase slipring induction motor.,Comprehension
Explain the spontaneity by using Gibbs free energy.,Application
What is Hydrology?,Knowledge
50 mL of 0.,Application
Define is inheritance.,Application
Construct a binary search tree for the following set of elements.,Application
Explain the need of Cache memory.,Knowledge
Write advantages of modeling a physical system and explain the concept of transfer function with the help of suitable example.,Knowledge
What are industrial considerations during actuator selection?,Knowledge
Classify recorders.,Comprehension
What is network crashing?,Knowledge
Explain the concept of current boosting with necessary diagram.,Knowledge
Explain gesture  interfaces in Virtual Reality.,Knowledge
Explain Carbon cluster.,Comprehension
The connecting rod of an engine has length equal to 200 mm between centers and has mass equal to 2.,Application
List down the material required for screen printing and explain the purpose of each material.,Knowledge
Design a sequence generator using T FFs.,Application
Draw a neat labeled diagram showing Mobilization of Stored Triacylglycerols by Hormones Trigger.,Knowledge
"A site is proposed for excavation of tunnel is A-B and M-N, which is passing through axis and limb region of fold respectively. Justify thesuitability of tunnel is such conditions.",Analysis
Compare Stack and Queue.,Analysis
Explain construction of dynamo meter type wattmeter with neat diagram.,Comprehension
With neat sketch describe injection molding process with its advantages.,Knowledge
Find out Minimum Spanning Tree of the following graph (figure 3) using Kruskal’s algorithm.,Application
How 80386 performs  task switching operation?,Knowledge
What is real time OS?,Knowledge
Explain in brief screen angle and halftone process for screen printing process.,Knowledge
Draw and explain diagram of a CRO.,Application
Explain the concept of self GMD or GMR for capacitance calculation.,Knowledge
Explain in detail classification of hydraulic pump.,Knowledge
Explain the internal diagram of IC 7490.,Knowledge
Draw neat diagram of Op Amp as a Schmitt trigger and explain its working.,Knowledge
Explain the concept of boundary layer?,Comprehension
Explain in brief the glue selection criteria for screen making.,Application
What is a segment?,Knowledge
Discuss types of systems for internal combustion engine.,Analysis
Calculate the heat of reaction at 298.,Application
Write short note on Self Lubricated Bearing.,Comprehension
State the iron deficiency diseases.,Knowledge
Explain process reaction curve tuning method in detail.,Knowledge
Explain value and its type with application?,Knowledge
Explain concept of constructors in Java with suitable example.,Comprehension
Explain any two types of memories.,Knowledge
Derive the relation between maximum permissible tension and centrifugal tension in belt so that it can transmit maximum power.,Analysis
Define probability. Also write the properties of probability.,Knowledge
A 75 mm diameter solid shaft is supported on end bearing 4 m apart.,Application
Explain briefly USM process characteristics.,Knowledge
Explain the working of Inverting Comparator.,Knowledge
What is destructor?,Knowledge
Explain the linked  implementation of stack with suitable example.,Analysis
What is NTU effectiveness method?,Knowledge
Write in detail on double helix structure of DNA.,Knowledge
State the requirement of material used for rotating machines.,Knowledge
Write short note on NodeJS,Knowledge
The pinions of an epicyclic train of gears is arranged as shown in Fig.,Application
What is congestion Control?,Knowledge
What is socket?,Knowledge
Draw and Explain the Architecture of a Typical Microcontroller.,Application
Suppose that the relation R on a set is represented by the matrix MR.,Knowledge
What is internal fragmentation and external fragmentation?,Knowledge
All partition walls are of 150 mm thick.,Application
Draw circuit diagram of practical integrator and explain its frequency response in detail.,Comprehension
Explain operating characteristic of centrifugal pump?,Comprehension
Explain the various types of errors that take place in wattmeter.,Knowledge
What will be the effects of faulting on civil engineering structures?,Analysis
"A 3 - phase, 500 V motor load has a power factor of 0.4. Two wattmeters are connected to measure the input. They show the input to be 30 kW.Find the reading of each instrument.",Application
Differentiate between Map and aerial photograph?,Analysis
"A 1:15 model of a flying boat is towed though water. The prototype is moving in seawater of density 1025kg/m3 at velocity of 21 m/s. Find the corresponding speed of the model. Also, determine the resistance due towaves on model if the resistance due to waves of the prototype is 610N.",Application
Draw and Explain working of TRIAC.,Comprehension
Depict the concept of Instruction level parallelism.,Comprehension
Explain significance of square root extractor with reference to Differential Pressure Transmitter.,Comprehension
Explain the following.,Comprehension
"Use Runge Kutta second order method of find an approximate value of y correct to three places of decimal when x = 0.1, given that y = 1.2 when x = 1 and dy dx = 3x + y2.",Application
Describe Taylor Piece Wage System and Merrick Piece Wage System with suitable illustration.,Knowledge
Specify the need of final control element in process and explain globe and butterfly control valve in detail with neat sketch.,Comprehension
In two independent samples of size 8 and 10 the sum of squares deviations of the values form the respective sample means were 84.,Application
Explain Rebhann’ s graphical method for determination of earth pressure on retaining wall.,Application
Write one important feature and an application each of the following motors.,Knowledge
Explain the construction and working principle of BLDC motor.,Comprehension
What do you mean by Quantity factor and Dissipation factor in AC bridges?,Knowledge
State and explain the merits and demerits of direct shear test.,Analysis
What is Screening Frequency?,Knowledge
A filament of a 230V lamp is to be drawn from a wire of having a diameter of 0.025mm and resistivity at 28°C is 5.65×10-6-cm. If the resistance temperature coefficient at 280°C is 5×10-3/°C. Calculate the lenght of the filament to dissipate 40W at filament temperature of at 3003°C.,Application
Compute the intensity of active earth pressure at a depth of 8 m in dry cohesionless sand with an angle of internal friction 300 and unit weight of 18 kN/m3.,Application
Explain in detail corrosion monitoring techniques of reinforcement and preventive measures against corrosion.,Knowledge
Write a short note on rating system for green building.,Synthesis
Explain the designation of coated electrode.,Knowledge
What are the variants of recursion.,Knowledge
With suitable diagram explain constructional details of 3 phase squirrel cage induction motor.,Application
Describe the design principles for jigs and fixtures.,Application
Draw the SCON register and explain use of individual bits of the register in detail.,Comprehension
Differentiate between TCP and UDP protocol.,Analysis
List various commutation techniques.,Comprehension
Derive an expression for sag in case of overhead transmission line when the supports are at unequal level.,Application
Discuss various types of flow with suitable example and mathematical expression.,Knowledge
Suppose that a book of 600 pages contains 40 printing mistakes.,Application
Compare circular linked list with singly linked list in terms of pros and cons.,Analysis
Explain decision support trends in businesses.,Knowledge
Explain in details of Dielectric Heating with types.,Knowledge
What is necessity of cooling the I.,Knowledge
Explain the stress-strain relationship of concrete with neat sketch.,Knowledge
Compare TTL and CMOS logic family.,Analysis
Explain the concept of Available and Unavailable energy.,Knowledge
Describe Functional Programming.,Application
What is the transformation?,Knowledge
Discuss any vacuum gauge tester in detail with a diagram.,Comprehension
Write in brief advantages and disadvantages of wind energy.,Knowledge
Give a complete design of an Absolute Loader with a suitable example.,Knowledge
Explain in detail working of square wave generator with neat circuit diagram.,Comprehension
1 – b) 1 + c) 1 + d) 1 – vi) If f (z) is analytic on and within a closed conter C then by Cauchy's Integral theorem () Cfzd zis equal to,Knowledge
Explain Tools and Techniques used in the Method Study.,Analysis
Draw & explain the working principle of Electromagnetic flow meter. Comment on the relationship between the flow rate & voltage.,Knowledge
Write a short note on interpolation and approximation.,Knowledge
Name  the different standards used for the Designation of Steels.,Knowledge
What is meant by ROM?,Knowledge
Draw and explain V to I convertor.,Knowledge
Explain 5 state Process model.,Knowledge
Use minimum 8 functions of vector STL.,Knowledge
"Explain earth pressure at rest, active earth pressure and passive earth pressure w.r.t. wall movement with sketches.",Knowledge
"Write recursive function for in-order, pre-order and post-order traversal of Binary tree.",Application
What is a segment?,Knowledge
What is namespace? To demonstrate namespace with example.,Knowledge
Discuss insulating materials used for transmission line.,Comprehension
A cylindrical riser must be designed for a sand casting mould.,Application
What is precipitation titration?,Knowledge
What is an exception?,Knowledge
Explain Project Management software in construction site planning.,Knowledge
Design and explain 6 to 15 UP counter using IC 74193.,Application
"Using Routh’s & Hurwitz’s criteria, comment on the stability if characteristic equation is: S6 + 2S5 + 8S4 + 12S3 + 20S2 + 16S + 16.",Application
Explain how Binary space partition algorithm is used to remove hidden surfaces.,Comprehension
A job is subdivided into five elements.,Application
Find the vertical deflection of the joint c of truss as shown in fig.,Analysis
Find the map of straight line 2xy=  under the transformation 21 21zwz−=+.,Application
What is Lissajous pattern?,Knowledge
Explain different drainage conditions in triaxial test.,Knowledge
Explain the disaggregation of tissue with trypsinization and its significance.,Analysis
30 ml of 0.,Application
What is the need of calibration? Explain one method of calibration of energy meter.,Knowledge
Evaluate ()C34 21zdzzz+ +  where c is the circle 1z=.,Application
State functional requirement of good flooring material.,Knowledge
Draw the circuit diagram of three OP-AMP instrumentation amplifier and write its output equation.,Knowledge
Explain various parts Fold and any three types of fold with neat sketches.,Knowledge
Explain any four IoT network protocols?,Analysis
Explain the types of cooling curves.,Knowledge
Draw Iron carbon equilibrium diagram.,Knowledge
What improvements needs to be done for packaging waste.,Evaluation
Draw & explain the working principle of bubble type level measurement. State the equation for it.,Knowledge
Explain the input and output devices with suitable example.,Analysis
What is mean by Instruction format?,Knowledge
Explain how memories are classified based on physical characteristics.,Knowledge
How interrupts are handled in protected mode?,Analysis
Explain the types of Lighting Scheme with diagrams.,Knowledge
Suppose the following sequence lists the nodes of a binary tree in preorder and inorder respectively.,Analysis
What are the disadvantages of the linear queue?,Knowledge
"Given the table of square roots, calculate the value of 155 by Newton's backward difference formula.",Application
What is Microprogram sequencing? Differentiate between Hardwired control and Microprogrammed control.,Knowledge
What is Sequential and index sequential file organization?,Knowledge
Define shear force at a section and bending moment at a section.,Knowledge
"Fourier sine transform of () ,xfxe−=  x > 0 is",Application
List the factors affecting compaction and explain the effect of compaction on any four soil properties.,Comprehension
"State any four assumptions in Boussinesq's theory. Mention the formula for calculation of stress in soil by point load and circular load byBoussinesq’s theory, with description of each term.",Knowledge
Design constant K-low pass filter to have a cut-off frequency of 796 Hz when terminated in a 600  resistance in both the T and π configurations.,Application
Define pressure vessel and explain design of pressure vessel subjected to external pressure.,Knowledge
State merits and demerits of LMO Battery.,Knowledge
Discuss the architecture of Pentium 4 processor.,Comprehension
Explain with circuit diagram the dynamic MOS memory.,Comprehension
Explain Economizer.,Knowledge
What is Piggybacking?,Knowledge
Explain the working of a half-adder? Draw its logic diagram.,Knowledge
Which operators can not be overloaded?,Knowledge
List various types of direction control valve.,Comprehension
Explain RMC with their advantages and disadvantages.,Comprehension
Explain value and its type with application?,Comprehension
What is fatigue failure?,Knowledge
Write a short note on Performance parameters of DAC.,Knowledge
Explain theory of indicators and also explain a difference of 2 PH is required for colour change.,Analysis
Write C functions for :,Application
How are polymers classified on the basis of their structure?,Knowledge
State the limitations of single linked list. Represent following polynomial using linked list.,Knowledge
State the classification and applications of Photogrammetry in surveying?,Knowledge
What are rolling contact bearings?,Knowledge
Each conductor of 3 phase line is suspended by 4 suspension insulators.,Knowledge
"Determine normal, tangential and resultant stresses on a plane at 25º with major principal plane. The principal stresses of 120 MPa tensile onmajor principal plane and 50 MPa compressive on minor principal planeare acting at a point on the member.",Application
A 250 V DC shunt motor runs at 1000 rpm at no load and takes 8 A.,Application
Define Sounding and state any one method of sounding with sketch?,Knowledge
Explain any three welding defects with their causes and remedies.,Knowledge
With the help of neat sketch explain the construction and working of radial drilling machine.,Analysis
Implement the following output functions using a suitable PLA.,Application
"Using stoke's theorem, evaluate",Application
Describe the fuel cells.,Comprehension
Explain Chemical Vapor deposition method for synthesis of nanomaterials.,Analysis
How does the granularity of data items affect the performance of concurrency control?,Analysis
Derive the thermodynamic equation for Depreesion in frizzing point of solution.,Synthesis
What is buffer register?,Knowledge
Evaluate the first and second derivative of √x at x=15 from the following data,Application
Write a note on User Interface Design.,Knowledge
A pipe of diameter 300 mm and length 3500 m is used for transmission of power by water.,Application
"How    todefine a package ? How to access ,import a package?",Knowledge
Explain Deferred database modification.,Analysis
Second moment 2μ about mean is,Application
How interrupts are handled in protection mode.,Analysis
Draw an interfacing diagram of stepper motor with 8051.,Comprehension
Implement the full subtractor using a 1:8 demultiplexer.,Application
What is the need of solar hybrid system?,Knowledge
A gas expands isothermally against a constant external pressure of 1 atmosphere from a volume of 10 dm 3 to a volume of 20 dm3.,Knowledge
What is mean by Encapsulation ? Explain with example.,Knowledge
Explain the function of CCP1CON SFR along with its format.,Analysis
