Text,Label
Illustrate what you think the main idea was.,Understanding
In one sentence explain the main idea of a written passage.,Understanding
In one sentence illustrate the main point of a written passage.,Understanding
Interpret the pictures.,Understanding
Outline in your own words how the Leggo's Tomato Paste advertisement sells their product.,Understanding
Outline the most important insight of the tale.,Understanding
Outline the mechanisms employed by bacteria allowing them to evade phagocytic destruction.,Understanding
"Outline an ""attack plan"" that will allow you to test your hypothesis using computational molecular modeling tools",Understanding
Paraphrase an important speech,Understanding
Paraphrase what Hamlet is saying in his soliloquy.,Understanding
Paraphrase the poem in your own words,Understanding
"Paraphrase this poem about Sheik Schubli, explaining what he was saying about the characteristics of a friend",Understanding
Describe the output of this program fragment:,Understanding
Classify types of corrosion inhibitors,Understanding
would you classify the zener diode in this circuit as a series voltage regulator or a shunt voltage regulator,Understanding
"Classify the following protocols: IP, TCP, HTTP according to the ISO OSI classification",Understanding
"Classify the following substances as particle, atom, element, molecule, compound",Understanding
How would you classify the geographic location of your school,Understanding
Classify animals into two groups.,Understanding
Classify celebrations into family and community categories.,Understanding
Classify frogs toads and other amphibians.,Understanding
Restate main idea of story in own words.,Understanding
Restate the Olympic motto in your own words.,Understanding
Retell the story in your words.,Understanding
Rewrite the principles of test writing.,Understanding
Rewrite you predicted equation for the ideal gas law,Understanding
Rewrite the markov matrix to account for this slight change.,Understanding
"Rewrite the sentence in your head, following the direction given below",Understanding
Rewrite a part in the poem using a different speaker,Understanding
Select the best title for a passage,Understanding
State in your own words the rule for balls and strikes in baseball.,Understanding
State in your own words where in the library to find previous issues of journals that are no longer in the display racks.,Understanding
Apply laws of statistics to evaluate the reliability of a written test.,Applying
Apply shading to produce depth in drawing.,Applying
Apply the rule of law to a new situation,Applying
Apply the storytelling technique here to a little story of your own.,Applying
Apply your understanding the Olympic spirit to develop a new motto or slogan.,Applying
Show the value of x after running this program fragment,Applying
Calculate for x in the following equation: 12x=36,Applying
Calculate the deflection of a beam under uniform loading.,Applying
Calculate the number of sacrificial anodes that would be required to form a calcareous deposit on a steel pile immersed in seawater.,Applying
Calculate the rate of habitat fragmentation within the Colorado Front Range in the last decade.,Applying
Can you apply the method used to some experience of your own . . .?,Applying
Can you group by characteristics such as . . .?,Applying
Categorise the pictures and add them to the wall display.,Applying
Choose a country that does not compete at the Olympics and explain why that country is not an Olympic member.,Applying
Choose any U.S. president and explain how he exercised his power as Commander in Chief of the Armed Forces.,Applying
Compute the area of actual circles.,Applying
Compute the volume of a cylinder,Applying
Construct a model to demonstrate how it will work.,Applying
Demonstrate how the seasons occur.,Applying
Demonstrate how this could work in an industry setting?,Applying
Demonstrate using the OPAC and your knowledge of library organization to find a book about turtles.,Applying
Demonstrate how your units specific student learning outcomes are linked to the mission of UAM.,Applying
Derive a kinetic model from experimental data.,Applying
Describe an experiment to answer the question of the effects of weight on the fall of an object.,Applying
Construct a market strategy for your product using a known strategy as a model.,Applying
Construct a simple payroll program that computes net pay for those working 40 hours or less and net pay for those working over 40 hours.,Applying
"Draw 3 pictures showing the beginning, middle and ending of the story.",Applying
Draw a picture of the bears' house.,Applying
Draw a picture of the gown Cinderella wore to the ball.,Applying
"From the information given, can you develop a set of instructions about . . .?",Applying
How could someone modify the Cornell Method to make it effective for researching a topic for a paper?,Applying
How might lifestyles in the United States be modified if a more socialistic system were adopted?,Applying
"If notes are available on the professors website, how should those notes be used?",Applying
"In a teaching simulation with your peers role-playing 6th grade students, demonstrate the principle of reinforcement in classroom interactions and prepare a half page description of what happened during the simulation that validated the principle.",Applying
Make a diorama to illustrate an important event.,Applying
Make a paper-mache map to include relevant information about an event.,Applying
Make a scrapbook about the areas of study.,Applying
Make up a puzzle game using the ideas from the study area.,Applying
Model an Olympic Village for the new Millenium.,Applying
Participate in a mock election,Applying
Predict what happens to X if Y increases.,Applying
Pretend you are one of the characters in the book. Write a diary about the happenings in your life for two consecutive days.,Applying
Relate the principle of reinforcement to classroom interactions.,Applying
Relate topographic map to field features,Applying
Relate your most powerful story where your use of technology in the classroom has yielded a significant outcome with a student or students,Applying
How would you relate position concept with position strategy,Applying
"Show, through role-play, the final scene in the novel.",Applying
Solve a math problem using familiar procedure or formula,Applying
Solve for the ten following fraction multiplication problems. Please make sure to show all your work.,Applying
Would you solve these two problems using similar approaches,Applying
Use Laplace to solve the following problems,Applying
Can you solve the following problem,Applying
How to specify the impact energy and impact test temperature of the material in the Code,Applying
How does one specify the syntactical restrictions,Applying
Specify a deterministic finite automaton (DFA) recognizing the,Applying
Take a collection of photographs to demonstrate a particular point.,Applying
Use a costing model to compute prices on goods to maximise profits and minimise costs.,Applying
Use a manual to calculate an employee's vacation time.,Applying
Use the distance travelled and cost of petrol to calculate the cost of a coach trip using a spreadsheet.,Applying
Use the rule for a semicolon in a sentence.,Applying
Who can use what we know about sonnets and finish this poem?,Applying
Would this information be useful if you had a . . .?,Applying
Sketch a prediction of the field lines for the arrangement of electrodes shown in Figure 2,Applying
Sketch the blackbody curves for radiation emitted from the Sun and the Earth,Applying
Sketch a typical absorption process in a packed column with regeneration in form of,Applying
sketch a graph of velocity versus time for the upward and downward parts of a balls flight,Applying
Analyze safe and dangerous aspects of these features.,Analysing
Analyze the characteristics of frogs.,Analysing
Analyze the movements and sounds of a frog.,Analysing
"Analyze the problem, identifying its variables.",Analysing
Break down the components of a standard film camera and explain how they interact to make the machine work.,Analysing
Break down the main actions of the story.,Analysing
"By comparing the map of the tectonic plates to the earthquake map, what inferences can you make?",Analysing
Can you compare your . . . with that presented in . . .?,Analysing
Can you distinguish between . . .?,Analysing
Can you explain what must have happened when . . .?,Analysing
Can you find four different feelings Pa Lia had during the story?,Analysing
Compare and contrast animals that the class has made.,Analysing
Compare and contrast our school to other communities.,Analysing
"Compare and contrast preview questions, clarifying questions and anticipated exam questions, including how each relates to the notetaking process?",Analysing
Compare and contrast the waterfall model with the prototyping model.,Analysing
Compare and contrast two characters in the book.,Analysing
Compare fall and spring,Analysing
Compare herbatious and carnivorous animals on a Venn diagram.,Analysing
Compare how different children come to school.,Analysing
Compare the place where the story happened with where you live.,Analysing
Compare this book to the last book you read.,Analysing
Compare three celebrations using a Venn diagram.,Analysing
Compare two dog food commercials. What is the difference between them and how do they both sell their products?,Analysing
Compare two of the characters in this book.,Analysing
Conduct an investigation to produce information to support a view.,Analysing
Contrast building in the coastal zone with building in a river floodplain.,Analysing
Contrast Olympic athletes of today with athletes of past Olympic games.,Analysing
Differentiate between .call by value and call by reference.,Analysing
Differentiate printf function calls for displaying prompts and for echoing data.,Analysing
Distinguish between micro and macro economics.,Analysing
Distinguish facts from hypotheses,Analysing
"Divide the story into initiating event, rising action, climax, and falling action",Analysing
"Examine what helps to make a good Olympics? Think about money, schedules, sports and people.",Analysing
"Explain the term conjugal families, by making reference to the different types of societies to which they could belong.",Analysing
analyze the positive and negative points presented concerning the abolition of guns and write a brief (2-3page) narrative of your analysis.,Analysing
"Differentiate the passages that attacked a political opponent personally, and those that attacked an opponent's political programs.",Analysing
How does your pet differ from other animals?,Analysing
How does...compare/contrast with...?,Analysing
How is . . . similar to . . .?,Analysing
How was life different in your town 100 years ago?,Analysing
How was this similar to . . .?,Analysing
How would this story be different if it had happened in a different country?,Analysing
How would you distinguish between polymyositis and viral myositis in a 42-year-old man with weakness and a rash?,Analysing
"If your story happened in a foreign land, compare that land to the United States.",Analysing
"If your story occurred long ago, compare that time with today in a good paragraph. If it was a modern story, compare it with a long time ago and tell what would be different.",Analysing
Investigate innovations that can enhance future Olympics.,Analysing
Make a diagnosis or analyze a case study.,Analysing
Select the athlete of the century and analyze why you chose this person.,Analysing
"If interest were compounded monthly instead of daily, what would the difference in interest be?",Analysing
What are the parts or features of...?,Analysing
Distinguish between the following giving suitable examples,Analysing
Distinguish between abstract date types (ADTs) and implementations of ADTs,Analysing
"How do you distinguish between the binge-eating/purging type of anorexia nervosa and bulimia nervosa, purging type",Analysing
How does Tdap differ from Td vaccine,Analysing
How does autonomy differ with age,Analysing
In what ways do female offenders differ from male offenders,Analysing
in what ways trajectory patterns differ according to ABC,Analysing
How do psychologists differ in their general attitudes toward third party presence,Analysing
How did Chinese newspapers differ from US,Analysing
How does public health reporting differ today from reporting two years before,Analysing
How does an endorsement differ from a teaching certificate,Analysing
How do we differentiate between genuine buyer and undercover buyer,Analysing
How do we differentiate between an interview and an interrogation?,Analysing
Differentiate between the following terms along with appropriate examples,Analysing
Differentiate the following functions using the quotient rule,Analysing
Can you differentiate between ethnic Chinese and ethnic Koreans,Analysing
How would you differentiate obstructive apneas from central apneas,Analysing
How would you differentiate a project from a program,Analysing
How is scientific progress similar to Darwinian evolution according to Kuhn,Analysing
"in what ways is oxyperoxidase similar to other oxygenated heme proteins, and how does it differ",Analysing
Apply and integrate several different strategies to solve a mathematical problem (not according to one formula(,Creating
Can you create new and unusual uses for . . .?,Creating
Can you design a . . . to . . .?,Creating
Can you develop a proposal which would . . .?,Creating
Can you invent another character for the story?,Creating
Can you see a possible solution to . . .?,Creating
Can you write a new recipe for a tasty dish?,Creating
Choose a character. Rewrite a scene from the story from this character's point of view.,Creating
Combine any two sports to develop a new Olympic sport.,Creating
"Combine elements of drama, music, and dance into a stage presentation.",Creating
Compose a class story.,Creating
Compose a dialogue between Atticus Finch and Tom Robinson when they first met.,Creating
Compose a rhythm or put new words to a known melody.,Creating
Compose a simple rap or rhyme about zoo animals.,Creating
Compose music for a frog play.,Creating
Compose a complete C program that reads text strings from a text file into a suitable data,Creating
Compose a device that would assist an athlete in their training.,Creating
Compose an original work which incorporates five common materials in sculpture.,Creating
Compose your own note-taking design that incorporates all theadvantages of the Cornell Method.,Creating
Create a chart that compares things that use electricity and things that do NOT use electricity.,Creating
Create a new product. Give it a name and plan a marketing campaign.,Creating
"Create a new song for the opening line of ""Mary had a little lamb"".",Creating
Create a set of guidelines to determine the points of a plant susceptible to localized corrosion.,Creating
Create a storyboard for a sequel to your book. Use the same characters.,Creating
Create an equation to represent the solution to this problem.,Creating
Create and perform a play about frogs.,Creating
Create plan of local environment by drawing around boxes.,Creating
Design a building according to given specifications,Creating
design a cost effective strategy to generate reliable data.,Creating
Design a machine to perform a specific task.,Creating
Design a new animal to live in the jungle.,Creating
Design a poster for this book.,Creating
Design a testing scenario to assess the susceptibility of an alloy to be used in a given environment?,Creating
Design and make an animal that moves.,Creating
Design costumes for the characters.,Creating
Design the architecture of the software system based on the requirements defined in the Software Requirement Specification document,Creating
Develop a hypothesis.,Creating
Develop a plan for a new Olympic Bid System.,Creating
Develop a SQA Plan for a software development project which is defined in the attached document.,Creating
"Develop a way to teach the concept of ""adjectives"".",Creating
Develop one plausible ending for all three short stories below.,Creating
Devise a new economic system based on the ones that already exist.,Creating
Devise plans to market or make artwork more valuable.,Creating
Draw a painting that uses various principles of perspective to achieve its effect.,Creating
"Explain how the biological concept of symbiotic relationships could be used to help solve socially created problems like water pollution, overflowing garbage landfills, or homelessness.",Creating
Explain why it is likely that a matriarchal family system would be found in a matrilocal or matrilineal society.,Creating
"Following the identification of the forms of corrosion that were involved in a failure, recommend a solution to avoid this failure?",Creating
Given two opposing theories design an experiment to compare them.,Creating
How could we determine the number of pennies in a jar without counting them?,Creating
How could you re-write this story with a city setting?,Creating
"how do the clauses and expressions given in the article which replace GOTO statements, lead to the three traditional control statements",Creating
How many ways can you . . .?,Creating
How would the U.S.A. be different if the South had won the Civil War?,Creating
How would you change the story to create a different ending?,Creating
How would you create/design a new...?,Creating
How would you restructure the school day to reflect children's developmental needs?,Creating
Identify one problem in the book and give an alternate solution one not given by the author.,Creating
If you had access to all resources how would you deal with . . .?,Creating
Integrate training from several sources to solve a problem.,Creating
Invent a machine to do a specific task.,Creating
Justify your choice of data structure.,Creating
Make a radio announcement that advertise the book. Write it out.,Creating
Make up a new language code and write material using it.,Creating
Name one character. Rewrite the story from this character's point of view.,Creating
Organize this book into three or more sections and give your own subtitle for each section.,Creating
Plan a research paper on a given historical topic,Creating
Predict the differences of a planet with no seasonal changes.,Creating
Prepare a book jacket that illustrates the kind of book as well as the story.,Creating
Pretend you are a librarian recommending this book to someone. Write a paragraph telling what  you would say.,Creating
Revise and process to improve the outcome.,Creating
"After designing an experiment, examining the results, and drawing conclusions, determines in what ways the experiment could be conducted more effectively in order to draw more productive conclusions in the future.",Evaluating
"After examining the videotape of a play in a football game, determine the degree to which the defensive team performed effectively and",Evaluating
"After solving a problem, determine the degree to which the problem was solved as efficiently as possible",Evaluating
Appraise data in support of a hypothesis.,Evaluating
Appraise the speech's effectiveness based upon the class' criteria.,Evaluating
Are there students who should not use the Cornell method?,Evaluating
Are you a . . . person?,Evaluating
Assess the appropriateness of an author's conclusions based on the evidence given.,Evaluating
Assess the importance of understanding seasonal patters.,Evaluating
Assess the relative effectiveness of different graphical representations of the same data or biological concept.,Evaluating
Assess the strengths and weaknesses of the current Olympics and recommend action that should be taken in future Olympics: What can be,Evaluating
"Award the contract to the best proposal. Rank the principles of ""good sportsmanship"" in order of importance to you.",Evaluating
Can you defend the idea that Simon's incident with the pig's head is the most mystical in the story?,Evaluating
Can you defend your position about . . .?,Evaluating
Choose a paint schedule for the maintenance of an outdoor structure? (level 2),Evaluating
Choose and illustrate the two most important events in the story.,Evaluating
Conclude and support which economic system leads to a higher standard of living.,Evaluating
Construct a poster that will advertise your new food product in an exciting and irresistible way.,Evaluating
Critique an experimental design or a research proposal.,Evaluating
"Critique the other student's (or your own) speech, based on the criteria we have studied this semester.",Evaluating
Decide whether you are in favor of building on a floodplain; defend your position in a debate.,Evaluating
Decide whether you could have survived on the island blind and alone. Write about things that would have been challenging making sure to,Evaluating
Decide whether you learned enough about electricity from this book.,Evaluating
Decide which candidate would best fill the position of principal.,Evaluating
Decide which course of action was most effective,Evaluating
Decide which method of solving a problem was most effective,Evaluating
Defend the following claim: The Cornell method works so well that it could turn even a poor lecture into a valuable learning experience.,Evaluating
Defend your use of a specific strategy in solving the problem.,Evaluating
Describe the economic consequence of a neolocal society. Support your description with information you have learned from this course.,Evaluating
Design a healthy menu that you think most people would enjoy using the healthy eating guide.,Evaluating
Determine if a characters actions were heroic,Evaluating
Do you agree...?,Evaluating
Do you think . . . is a good or a bad thing?,Evaluating
Establish criteria for making this choice and defend your final selection.,Evaluating
"Evaluate a work of art, giving the reasons for your evaluation.",Evaluating
Evaluate appropriate and inappropriate actions of characters.,Evaluating
Evaluate board games and justify why rules are important.,Evaluating
Evaluate the corrosion monitoring needs of a chemical processing plant,Evaluating
Evaluate the level of galvanic coupling between two metals using basic kinetic information? (level 4),Evaluating
Evaluate two Internet sources of information about the Egyptians. Which would be a better choice for your purpose and why?,Evaluating
Evaluate whether their model is a true representation of the local environment.,Evaluating
Evaluate your own or a peer's essay in terms of the principles of composition discussed during the semester.,Evaluating
Examine the stated positions of both major political candidates with regard to a particular issue and state good reasons (based on principles discussed in class) for why one candidates position is more likely to be effective than the other's.,Evaluating
Explain and justify a new budget.,Evaluating
Explain choices made in making recommendations to an end user.,Evaluating
"Given an argument on any position, enumerate the logical fallacies in that argument.",Evaluating
"Given the data available on a research question, take a position and defend it.",Evaluating
"Given the data we've looked at on this topic, evaluate how appropriate this conclusion is and defend your answer.",Evaluating
"Given the two solutions to the stated programming problem, rate the solutions in  terms of efficiency and readability.",Evaluating
"Given three possible approaches to implement the defined system, discuss the possible advantages and disadvantages of each approach.",Evaluating
"Given two possible solutions, A and B, to solving the given software development problem, decide on the best solution. Give your justification.",Evaluating
How effective are . . .?,Evaluating
How would you decide about...?,Evaluating
How would you feel if . . .?,Evaluating
How would you have handled . . .?,Evaluating
"improved, reformed or rejected?",Evaluating
"In a given clinical situation, select the most reasonable intervention and predict the main effects and possible side effects.",Evaluating
Is there a better solution to . . .?,Evaluating
udge aesthetic qualities and relationship to future values.,Evaluating
judge the difficulty level for yourself.,Evaluating
Judge the value of . . .?,Evaluating
Judge whether it would be possible to survive on an island alone and blinded. Write about it.,Evaluating
Judge whether Olympic Ideals are realistic or unrealistic for the contemporary elite athlete.,Evaluating
Justify and nominate ways to prevent animal extinction.,Evaluating
Justify the title To Kill a Mockingbird .,Evaluating
Listen to two classmates conversing on tape and critique their performance on the basis of the skills covered this semester.,Evaluating
Place the following in order of priority...,Evaluating
Predict what will happen next in.,Evaluating
Predict whether Phillip will ever go back to visit the Cay after several years of recovery. Assuming he gets his sight back.,Evaluating
Recommend how our classroom or playground could be improved.,Evaluating
State the rule for balls and strikes in baseball.,Remembering
State the rule for using a semicolon in a sentence.,Remembering
What are major facts about particular cultures and societies,Remembering
What are the major products and exports of countries,Remembering
What are the representational symbols on maps and charts,Remembering
What are the structure or functions of Congress,Remembering
What are the units of corrosion penetration rates? Relate these to Faraday's law,Remembering
What does ICT stands for,Remembering
What is  your family name,Remembering
What is a global variable?,Remembering
What is a textual index,Remembering
What is the setting of To Kill a Mockingbird?,Remembering
What is the title of the first movie you saw,Remembering
What season are we in right now?,Remembering
when did saudi arabia start using internet,Remembering
when did the first saudi radio station open,Remembering
When did the second world war happen,Remembering
When did you born ?,Remembering
when was the first airport in the yemen built,Remembering
when was the UN formed,Remembering
Which of the following is the method for determining the volume of a cylinder?,Remembering
Which of the following item does not belong to the set ?,Remembering
Which of the two liquids is hypotonic,Remembering
which part of a data packet is used by a router to determine the destination network,Remembering
Which technology is used by laser printer,Remembering
Who is the first president   of USA,Remembering
who is the founder of the kingdom of saudi Arabia,Remembering
who was the first man on the moon,Remembering
who was the first to compose in the arts of makamat,Remembering
Who was the writer of the Hamilton,Remembering
Can you state in your own words what the problem is asking you to do,Understanding
State in your own words what the author means when he says,Understanding
Summarize a historical document,Understanding
Summarize a story in own words.,Understanding
Summarize Jems beliefs about Boo Radley,Understanding
Summarize the basic tenets of collaborative conservation.,Understanding
Summarize the basic tenets of deconstructionism.,Understanding
Summarize this magazine article.,Understanding
Tell how Phillip kept himself alive after Timothy died.,Understanding
Tell in your own words how the setting of the story made it more interesting.,Understanding
Tell in your own words the beginning of the book.,Understanding
"In your own words, tell what is meant by the definition of an isosceles triangle.",Understanding
"In your own words, how would you define transferable skills",Understanding
Translate a written text aloud from L2 to English.,Understanding
Translate an equation into a computer spreadsheet.,Understanding
Translate an equation into a spreadsheet formula.,Understanding
Translate the following passage from The Iliad into English.,Understanding
Use the E-pH or Pourbaix diagram of Cr to determine the control current and potential for the anodic protection of a S43000 stainless steel vessel.,Understanding
"Compare and contrast two treatments of either drapery or animals by Greek sculptors, establishing their artistic contexts",Understanding
"Briefly compare this way of testing the satisfiability of to the more standard way using SLD Resolution, as in Prolog",Understanding
How would you compare SAS with the Visual Basic Application and SPSS for the processing and analysis of mainframe data,Understanding
Describe and compare the role of Islamic law in the legal systems of Malaysia and Pakistan,Understanding
Express the rule in function notation,Understanding
Express the following systems in matrix form,Understanding
Express the following percentages as fractions in simplest form,Understanding
Explain the whole method of crushing,Understanding
"In your own words, how would you summarize the story up",Understanding
Summarize the main point of these two texts in your own words,Understanding
Outline the aim of two studies within the,Understanding
Outline your experience in working with service users,Understanding
How do teenagers use code in emails and instant messages?,Applying
Use the second-derivative test to determine whether critical points where f0(x) = 0 yield relative maxima or relative minima,Applying
Use the unification algorithm to determine whether the following two terms are uni_able. Show intermediate step,Applying
Use tableau methods to prove that the following tableau is valid.,Applying
Use a sketch too find the exact value of each expression,Applying
Use Gauss Law to find the electric field between the plates when the charge on them is Q,Applying
What happens if you restrict a determinental process to a subset R  S?,Applying
What would happen if the rainfall doubled in your state next year,Applying
What happens if you change the direction of the displacement (but not its size)?,Applying
What would you do if a heavy growth of bacteria had occurred,Applying
What would result if,Applying
What approach would you use to prove the truth of the below statement,Applying
Construct one Turing Machine for computing each of the following functions,Applying
Construct a Venn diagram to determine the validity of the given argument.,Applying
Construct a dictionary and a truth table to determine if the following statements are logically equivalent,Applying
"How can we construct H given I, B and E?",Applying
Construct a family of networks to demonstrate that the number of different mincuts in a network can be exponential in the size of the network,Applying
How do you construct foliations on a given manifold M?,Applying
How to Construct the Optimal Maintenance Problem,Applying
How to construct simple solutions when problems are complex?,Applying
Construct the 4-Bit Ripple carry Adder Circuit,Applying
Construct an analog circuit with the following specifications,Applying
Construct the Data Path of the RISC Processor given in the previous question,Applying
How do we construct agents that can deliver. good assistance,Applying
How to construct the selected information system,Applying
Show how they have used creative writing strategies appropriate to the format,Applying
Show how to modify Fitch's algorithm given in class today to accommodate non-binary,Applying
Show how E-CRM can be used to improve marketing positioning as explained in the article,Applying
How would you show your understanding of the ABC process,Applying
Show me how you would check the brake lights are working on this car,Applying
In what ways are foxes similar to wolves and dogs,Analysing
How are the adolescents with ASD similar of different from each other in their sources of communication breakdowns ?,Analysing
Examine the data in the EMPLOYEES and DEPARTMENTS tables,Analysing
Examine the differences between the model excluding the most influential observation and the model including all observations.,Analysing
Critically examine the strengths and weaknesses of the positivist paradigm,Analysing
Examine differences between the means of each individual switching factor.,Analysing
Examine carefully the given map extract on the following page to help you work out the exercise below.,Analysing
"Inspect each of these Boolean expressions, and determine whether each one is a sum of products, or a product of sums",Analysing
Inspect the size of the loaded data: how many objects and variables does the iris data matrix contain?,Analysing
Can you distinguish for me between what is reasonably  achievable and what are  exaggerations,Analysing
Can you distinguish aged rums from unaged rums by smell,Analysing
Can you distinguish pot still rums from column still rums by taste,Analysing
Inspect the pattern of GPS positions relative to the known published value,Analysing
How does your agency inspect against its expectation for operators,Analysing
How to inspect and maintain fresh water plumbing systems properly,Analysing
Can you analyze the fractures and determine which should be repaired surgically,Analysing
Can you please analyze modern contemporary culture and tell me how your work plays a significant part in the remains of our post-modernist culture ?,Analysing
"How effectively did students analyze course content on race, class, and privilege through autobiographical reflection",Analysing
How do you analyze a marginally RCT,Analysing
"Contrast the treatment of ""well known"" trademarks provided by Paris Article and by TRIPS Article",Analysing
Contrast the Valles Marineris on Mars with the Grand Canyon,Analysing
How does Hawaii contrast and compare to Florida?,Analysing
Investigate whether or not the system can be solved for x; y; z,Analysing
Investigate (pointwise) convergence and absolute convergence of the given series of functions,Analysing
How would you investigate this patient,Analysing
How would you investigate this abnormality,Analysing
What can I do to investigate this problem further,Analysing
how the investigation was undertaken,Analysing
How would you differentiate between heterodox and mainstream,Analysing
"How do I differentiate between ""deceive"" and ""cheat on""?",Analysing
Revise how to complete a complex task in order to improve the outcome.,Creating
Revises and process to improve the outcome.,Creating
"structure, sorts the list in ascending order, displays the list on the screen and stores the list",Creating
Suppose Phillip wasn't rescued shortly after Timothy's death. How long could he have survived?,Creating
"Using information from the book about one of the main characters, rewrite the ending of the book.",Creating
What ideas can you add to...?,Creating
What might happen if you combined...?,Creating
What solutions would you suggest for...?,Creating
What would happen if . . .?,Creating
What would you predict/infer from...?,Creating
Why dont you devise your own way to deal with . . .?,Creating
Why not compose a song about . . .?,Creating
"Write a C program that accepts integer inputs from the screen, computes the total and average values; and displays the values on the screen.",Creating
Write a letter to the editor on a social issue of concern to you.,Creating
Write a logically organized argument in favor of a given position.,Creating
Write a poem about this book.,Creating
Write a set of rules to prevent what happened in the story.,Creating
Write a short story relating a personal experience in the style of a picaresque novel.,Creating
