Text,Label
Define term base load and peak load plants .,Remembering
Write a short note on Velocity Profile optimization in DC Motor?,Remembering
Is Etching is essential every time ?,Analysing
Explain the process Biomass energy conversion.,Remembering
What is Fourier series. Write formula for exponential and Trignometric Fourier series.,Remembering
Define and explain the following op-Amppovameter,Remembering
Define package and interfaces in Java?,Remembering
What is fluidization and minimum fluidization velocity?,Remembering
Classify insulating materials and hence write properties and applications of any two materials from Class C type.,Understanding
Write a note on Lapping process.,Remembering
State and explain the five more important goals of a project.,Remembering
A fluid of viscosity 0.,Remembering
What is Turbidometry in microbiology?,Remembering
Explain in brief Autoclave variables as one of major engineering problems of urea production process.,Analysing
What is plate tectonics?,Remembering
Explain the cold and hot weather concreting.,Applying
Explain in brief folding to paper style.,Remembering
Explain with example the significance of priority queue over simple queue.,Analysing
Describe the working principle of capacitive humidity sensors with diagram.,Understanding
What is cohesion and coupling?,Remembering
With the help of torque speed characteristics explain effect of addition of external resistance in rotor circuit of 3 phase slipring induction motor.,Understanding
Explain the spontaneity by using Gibbs free energy.,Applying
What is Hydrology?,Remembering
50 mL of 0.,Applying
Define is inheritance.,Applying
Construct a binary search tree for the following set of elements.,Applying
Explain the need of Cache memory.,Remembering
Write advantages of modeling a physical system and explain the concept of transfer function with the help of suitable example.,Remembering
What are industrial considerations during actuator selection?,Remembering
Classify recorders.,Understanding
What is network crashing?,Remembering
Explain the concept of current boosting with necessary diagram.,Remembering
Explain gesture  interfaces in Virtual Reality.,Remembering
Explain Carbon cluster.,Understanding
The connecting rod of an engine has length equal to 200 mm between centers and has mass equal to 2.,Applying
List down the material required for screen printing and explain the purpose of each material.,Remembering
Design a sequence generator using T FFs.,Applying
Draw a neat labeled diagram showing Mobilization of Stored Triacylglycerols by Hormones Trigger.,Remembering
"A site is proposed for excavation of tunnel is A-B and M-N, which is passing through axis and limb region of fold respectively. Justify thesuitability of tunnel is such conditions.",Analysing
Compare Stack and Queue.,Analysing
Explain construction of dynamo meter type wattmeter with neat diagram.,Understanding
With neat sketch describe injection molding process with its advantages.,Remembering
Find out Minimum Spanning Tree of the following graph (figure 3) using Kruskal’s algorithm.,Applying
How 80386 performs  task switching operation?,Remembering
What is real time OS?,Remembering
Explain in brief screen angle and halftone process for screen printing process.,Remembering
Draw and explain diagram of a CRO.,Applying
Explain the concept of self GMD or GMR for capacitance calculation.,Remembering
Explain in detail classification of hydraulic pump.,Remembering
Explain the internal diagram of IC 7490.,Remembering
Draw neat diagram of Op Amp as a Schmitt trigger and explain its working.,Remembering
Explain the concept of boundary layer?,Understanding
Explain in brief the glue selection criteria for screen making.,Applying
What is a segment?,Remembering
Discuss types of systems for internal combustion engine.,Analysing
Calculate the heat of reaction at 298.,Applying
Write short note on Self Lubricated Bearing.,Understanding
State the iron deficiency diseases.,Remembering
Explain process reaction curve tuning method in detail.,Remembering
Explain value and its type with application?,Remembering
Explain concept of constructors in Java with suitable example.,Understanding
Explain any two types of memories.,Remembering
Derive the relation between maximum permissible tension and centrifugal tension in belt so that it can transmit maximum power.,Analysing
Define probability. Also write the properties of probability.,Remembering
A 75 mm diameter solid shaft is supported on end bearing 4 m apart.,Applying
Explain briefly USM process characteristics.,Remembering
Explain the working of Inverting Comparator.,Remembering
What is destructor?,Remembering
Explain the linked  implementation of stack with suitable example.,Analysing
What is NTU effectiveness method?,Remembering
Write in detail on double helix structure of DNA.,Remembering
State the requirement of material used for rotating machines.,Remembering
Write short note on NodeJS,Remembering
The pinions of an epicyclic train of gears is arranged as shown in Fig.,Applying
What is congestion Control?,Remembering
What is socket?,Remembering
Draw and Explain the Architecture of a Typical Microcontroller.,Applying
Suppose that the relation R on a set is represented by the matrix MR.,Remembering
What is internal fragmentation and external fragmentation?,Remembering
All partition walls are of 150 mm thick.,Applying
Draw circuit diagram of practical integrator and explain its frequency response in detail.,Understanding
Explain operating characteristic of centrifugal pump?,Understanding
Explain the various types of errors that take place in wattmeter.,Remembering
What will be the effects of faulting on civil engineering structures?,Analysing
"A 3 - phase, 500 V motor load has a power factor of 0.4. Two wattmeters are connected to measure the input. They show the input to be 30 kW.Find the reading of each instrument.",Applying
Differentiate between Map and aerial photograph?,Analysing
"A 1:15 model of a flying boat is towed though water. The prototype is moving in seawater of density 1025kg/m3 at velocity of 21 m/s. Find the corresponding speed of the model. Also, determine the resistance due towaves on model if the resistance due to waves of the prototype is 610N.",Applying
Draw and Explain working of TRIAC.,Understanding
Depict the concept of Instruction level parallelism.,Understanding
Explain significance of square root extractor with reference to Differential Pressure Transmitter.,Understanding
Explain the following.,Understanding
"Use Runge Kutta second order method of find an approximate value of y correct to three places of decimal when x = 0.1, given that y = 1.2 when x = 1 and dy dx = 3x + y2.",Applying
Describe Taylor Piece Wage System and Merrick Piece Wage System with suitable illustration.,Remembering
Specify the need of final control element in process and explain globe and butterfly control valve in detail with neat sketch.,Understanding
In two independent samples of size 8 and 10 the sum of squares deviations of the values form the respective sample means were 84.,Applying
Explain Rebhann’ s graphical method for determination of earth pressure on retaining wall.,Applying
Write one important feature and an application each of the following motors.,Remembering
Explain the construction and working principle of BLDC motor.,Understanding
What do you mean by Quantity factor and Dissipation factor in AC bridges?,Remembering
State and explain the merits and demerits of direct shear test.,Analysing
What is Screening Frequency?,Remembering
A filament of a 230V lamp is to be drawn from a wire of having a diameter of 0.025mm and resistivity at 28°C is 5.65×10-6-cm. If the resistance temperature coefficient at 280°C is 5×10-3/°C. Calculate the lenght of the filament to dissipate 40W at filament temperature of at 3003°C.,Applying
Compute the intensity of active earth pressure at a depth of 8 m in dry cohesionless sand with an angle of internal friction 300 and unit weight of 18 kN/m3.,Applying
Explain in detail corrosion monitoring techniques of reinforcement and preventive measures against corrosion.,Remembering
Write a short note on rating system for green building.,Creating
Explain the designation of coated electrode.,Remembering
What are the variants of recursion.,Remembering
With suitable diagram explain constructional details of 3 phase squirrel cage induction motor.,Applying
Describe the design principles for jigs and fixtures.,Applying
Draw the SCON register and explain use of individual bits of the register in detail.,Understanding
Differentiate between TCP and UDP protocol.,Analysing
List various commutation techniques.,Understanding
Derive an expression for sag in case of overhead transmission line when the supports are at unequal level.,Applying
Discuss various types of flow with suitable example and mathematical expression.,Remembering
Suppose that a book of 600 pages contains 40 printing mistakes.,Applying
Compare circular linked list with singly linked list in terms of pros and cons.,Analysing
Explain decision support trends in businesses.,Remembering
Explain in details of Dielectric Heating with types.,Remembering
What is necessity of cooling the I.,Remembering
Explain the stress-strain relationship of concrete with neat sketch.,Remembering
Compare TTL and CMOS logic family.,Analysing
Explain the concept of Available and Unavailable energy.,Remembering
Describe Functional Programming.,Applying
What is the transformation?,Remembering
Discuss any vacuum gauge tester in detail with a diagram.,Understanding
Write in brief advantages and disadvantages of wind energy.,Remembering
Give a complete design of an Absolute Loader with a suitable example.,Remembering
Explain in detail working of square wave generator with neat circuit diagram.,Understanding
1 – b) 1 + c) 1 + d) 1 – vi) If f (z) is analytic on and within a closed conter C then by Cauchy's Integral theorem () Cfzd zis equal to,Remembering
Explain Tools and Techniques used in the Method Study.,Analysing
Draw & explain the working principle of Electromagnetic flow meter. Comment on the relationship between the flow rate & voltage.,Remembering
Write a short note on interpolation and approximation.,Remembering
Name  the different standards used for the Designation of Steels.,Remembering
What is meant by ROM?,Remembering
Draw and explain V to I convertor.,Remembering
Explain 5 state Process model.,Remembering
Use minimum 8 functions of vector STL.,Remembering
"Explain earth pressure at rest, active earth pressure and passive earth pressure w.r.t. wall movement with sketches.",Remembering
"Write recursive function for in-order, pre-order and post-order traversal of Binary tree.",Applying
What is a segment?,Remembering
What is namespace? To demonstrate namespace with example.,Remembering
Discuss insulating materials used for transmission line.,Understanding
A cylindrical riser must be designed for a sand casting mould.,Applying
What is precipitation titration?,Remembering
What is an exception?,Remembering
Explain Project Management software in construction site planning.,Remembering
Design and explain 6 to 15 UP counter using IC 74193.,Applying
"Using Routh’s & Hurwitz’s criteria, comment on the stability if characteristic equation is: S6 + 2S5 + 8S4 + 12S3 + 20S2 + 16S + 16.",Applying
Explain how Binary space partition algorithm is used to remove hidden surfaces.,Understanding
A job is subdivided into five elements.,Applying
Find the vertical deflection of the joint c of truss as shown in fig.,Analysing
Find the map of straight line 2xy=  under the transformation 21 21zwz−=+.,Applying
What is Lissajous pattern?,Remembering
Explain different drainage conditions in triaxial test.,Remembering
Explain the disaggregation of tissue with trypsinization and its significance.,Analysing
30 ml of 0.,Applying
What is the need of calibration? Explain one method of calibration of energy meter.,Remembering
Evaluate ()C34 21zdzzz+ +  where c is the circle 1z=.,Applying
State functional requirement of good flooring material.,Remembering
Draw the circuit diagram of three OP-AMP instrumentation amplifier and write its output equation.,Remembering
Explain various parts Fold and any three types of fold with neat sketches.,Remembering
Explain any four IoT network protocols?,Analysing
Explain the types of cooling curves.,Remembering
Draw Iron carbon equilibrium diagram.,Remembering
What improvements needs to be done for packaging waste.,Evaluating
Draw & explain the working principle of bubble type level measurement. State the equation for it.,Remembering
Explain the input and output devices with suitable example.,Analysing
What is mean by Instruction format?,Remembering
Explain how memories are classified based on physical characteristics.,Remembering
How interrupts are handled in protected mode?,Analysing
Explain the types of Lighting Scheme with diagrams.,Remembering
Suppose the following sequence lists the nodes of a binary tree in preorder and inorder respectively.,Analysing
What are the disadvantages of the linear queue?,Remembering
"Given the table of square roots, calculate the value of 155 by Newton's backward difference formula.",Applying
What is Microprogram sequencing? Differentiate between Hardwired control and Microprogrammed control.,Remembering
What is Sequential and index sequential file organization?,Remembering
Define shear force at a section and bending moment at a section.,Remembering
"Fourier sine transform of () ,xfxe−=  x > 0 is",Applying
List the factors affecting compaction and explain the effect of compaction on any four soil properties.,Understanding
"State any four assumptions in Boussinesq's theory. Mention the formula for calculation of stress in soil by point load and circular load byBoussinesq’s theory, with description of each term.",Remembering
Design constant K-low pass filter to have a cut-off frequency of 796 Hz when terminated in a 600  resistance in both the T and π configurations.,Applying
Define pressure vessel and explain design of pressure vessel subjected to external pressure.,Remembering
State merits and demerits of LMO Battery.,Remembering
Discuss the architecture of Pentium 4 processor.,Understanding
Explain with circuit diagram the dynamic MOS memory.,Understanding
Explain Economizer.,Remembering
What is Piggybacking?,Remembering
Explain the working of a half-adder? Draw its logic diagram.,Remembering
Which operators can not be overloaded?,Remembering
List various types of direction control valve.,Understanding
Explain RMC with their advantages and disadvantages.,Understanding
Explain value and its type with application?,Understanding
What is fatigue failure?,Remembering
Write a short note on Performance parameters of DAC.,Remembering
Explain theory of indicators and also explain a difference of 2 PH is required for colour change.,Analysing
Write C functions for :,Applying
How are polymers classified on the basis of their structure?,Remembering
State the limitations of single linked list. Represent following polynomial using linked list.,Remembering
State the classification and applications of Photogrammetry in surveying?,Remembering
What are rolling contact bearings?,Remembering
Each conductor of 3 phase line is suspended by 4 suspension insulators.,Remembering
"Determine normal, tangential and resultant stresses on a plane at 25º with major principal plane. The principal stresses of 120 MPa tensile onmajor principal plane and 50 MPa compressive on minor principal planeare acting at a point on the member.",Applying
A 250 V DC shunt motor runs at 1000 rpm at no load and takes 8 A.,Applying
Define Sounding and state any one method of sounding with sketch?,Remembering
Explain any three welding defects with their causes and remedies.,Remembering
With the help of neat sketch explain the construction and working of radial drilling machine.,Analysing
Implement the following output functions using a suitable PLA.,Applying
"Using stoke's theorem, evaluate",Applying
Describe the fuel cells.,Understanding
Explain Chemical Vapor deposition method for synthesis of nanomaterials.,Analysing
How does the granularity of data items affect the performance of concurrency control?,Analysing
Derive the thermodynamic equation for Depreesion in frizzing point of solution.,Creating
What is buffer register?,Remembering
Evaluate the first and second derivative of √x at x=15 from the following data,Applying
Write a note on User Interface Design.,Remembering
A pipe of diameter 300 mm and length 3500 m is used for transmission of power by water.,Applying
"How    todefine a package ? How to access ,import a package?",Remembering
Explain Deferred database modification.,Analysing
Second moment 2μ about mean is,Applying
How interrupts are handled in protection mode.,Analysing
Draw an interfacing diagram of stepper motor with 8051.,Understanding
Implement the full subtractor using a 1:8 demultiplexer.,Applying
What is the need of solar hybrid system?,Remembering
A gas expands isothermally against a constant external pressure of 1 atmosphere from a volume of 10 dm 3 to a volume of 20 dm3.,Remembering
What is mean by Encapsulation ? Explain with example.,Remembering
Explain the function of CCP1CON SFR along with its format.,Analysing
Explain the various rating systems related to Green Building.,Understanding
Differentiate between transmission and distribution system.,Analysing
Describe any three specification of ADC.,Understanding
Discuss the different types of threads used in power screw.,Remembering
State the types of flat terraced roofing and explain any one of them.,Remembering
Design primary school for 6 class room the building is single story and RCC frame the structure following details.,Applying
Write down the steps in executing on an interrupt.,Remembering
Is it possible to estimate software size before coding?,Analysing
What do you meant by retrofitting of concrete and explain use of fiber reinforced polymer concrete for retrofitting.,Remembering
